0	10
1	9
2	9
3	9
4	4
5	4
6	4
7	5
8	7
9	10
10	14
11	18
12	22
13	28
14	34
15	38
16	43
17	47
18	49
19	49
20	50
21	50
22	53
23	58
24	67
25	68
26	68
27	67
28	59
29	51
30	46
31	49
32	49
33	50
34	55
35	63
36	58
37	53
38	53
39	58
40	67
41	68
42	68
43	67
44	59
45	51
46	46
47	49
48	49
49	50
50	55
51	59
52	64
53	71
54	72
55	74
56	71
57	71
58	70
59	66
60	61
61	62
62	63
63	70
64	74
65	77
66	79
67	82
68	90
69	102
70	109
71	121
72	132
73	134
74	134
75	133
76	126
77	117
78	113
79	104
80	96
81	92
82	87
83	81
84	78
85	81
86	82
87	80
88	78
89	73
90	69
91	63
92	67
93	67
94	72
95	71
96	72
97	71
98	70
99	67
100	68
